name,local health area,Zone,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
ABBOTTSFIELD (2010) ( 9.9%),Abbottsfield,Edmonton,4,94,100,1,880,149,1029,0,216,13300,0.127443609,450,1165,85,0,835,860,3.1,1035,540,175,120,175,330,415,495,1245,67.1,58.2,480,140,25,480
BEACON HEIGHTS (2040) ( 5.8%),Abbottsfield,Edmonton,7,156,165,2,1461,248,1709,0,596,13300,0.211654135,330,2010,410,70,1445,1375,2.7,2295,515,45,10,315,750,770,960,2485,61.4,53.9,1075,165,45,360
BERGMAN (2090) ( 4.6%),Abbottsfield,Edmonton,4,90,95,1,841,143,983,0,197,13300,0.121804511,280,1145,175,20,815,805,2.9,1335,285,30,0,80,320,400,615,1340,69,61.9,690,80,25,120
BEVERLY HEIGHTS (2100) ( 6.1%),Abbottsfield,Edmonton,9,197,209,3,1848,313,2161,0,953,13300,0.267669173,585,2305,550,120,1815,1745,2.8,3075,465,70,20,400,640,840,1495,2975,61.2,53.6,1275,190,45,580
RUNDLE HEIGHTS (2660) ( 4.4%),Abbottsfield,Edmonton,9,200,212,3,1874,318,2192,0,980,13300,0.271428571,960,2250,365,35,1830,1780,3.1,2560,990,355,60,450,710,800,1140,2650,62.3,52.5,1070,195,30,1015
KINGLET GARDENS (4477) ( 4.4%),Bonnie Doon,Edmonton,0,8,8,0,136,24,160,0,0,89895,0.002169197,15,130,55,0,100,95,2.7,135,65,0,0,0,10,55,115,180,59.5,62.2,90,0,0,
ALLENDALE (5010) ( 8.1%),Bonnie Doon,Edmonton,2,113,118,3,2033,360,2392,0,95,89895,0.032482341,325,2340,235,25,1555,1360,2.8,2335,460,120,125,135,315,785,1495,2595,77.9,69.6,1275,315,145,320
BELGRAVIA (5040) ( 3.9%),Bonnie Doon,Edmonton,1,90,94,3,1615,286,1901,0,60,89895,0.025807887,395,1535,330,55,1105,1215,3,1665,565,60,85,45,110,325,1490,1925,65.5,61.8,610,250,200,165
GARNEAU (5200) ( 8.0%),Bonnie Doon,Edmonton,4,261,273,8,4699,831,5530,0,507,89895,0.075087602,205,5980,500,60,3440,3310,2.3,3775,1375,445,1595,175,185,1710,4645,6545,66.8,60.3,1640,755,1265,2025
LENDRUM PLACE (5270) ( 4.6%),Bonnie Doon,Edmonton,1,73,76,2,1305,231,1536,0,39,89895,0.020857667,265,1240,310,60,965,910,2.8,1420,410,105,45,70,145,360,1105,1605,59.6,57.8,610,170,100,160
MCKERNAN (5290) ( 6.2%),Bonnie Doon,Edmonton,2,97,101,3,1737,307,2044,0,69,89895,0.027754603,215,2025,205,45,1310,1185,2.6,1800,425,55,275,70,110,555,1620,2280,76.5,69.5,800,320,360,350
PARKALLEN (5310) ( 3.2%),Bonnie Doon,Edmonton,1,90,95,3,1626,288,1913,0,61,89895,0.025974748,330,1785,200,20,1160,1170,2.8,1940,330,65,65,75,135,540,1330,2005,78.8,74.3,775,315,235,150
PLEASANTVIEW (5320) ( 5.5%),Bonnie Doon,Edmonton,2,148,155,5,2670,472,3142,0,164,89895,0.042660882,570,2770,465,35,1880,1955,2.7,2515,1145,450,175,135,305,835,2125,3265,74,67.3,1455,435,165,450
QUEEN ALEXANDRA (5330) ( 7.9%),Bonnie Doon,Edmonton,3,185,194,6,3335,590,3924,0,255,89895,0.053284387,375,3930,430,50,2405,2380,2.5,3315,1035,395,440,285,335,980,3100,4415,76.4,68.1,1635,665,535,840
STRATHCONA (5480) ( 8.5%),Bonnie Doon,Edmonton,5,337,353,10,6074,1074,7148,0,847,89895,0.097057678,710,7120,825,70,4505,4220,2.5,6430,1640,500,655,415,600,1660,5755,8015,80.2,74.9,3340,1115,1105,1150
WINDSOR PARK (5580) ( 3.0%),Bonnie Doon,Edmonton,1,51,53,2,912,161,1073,0,19,89895,0.014572557,205,815,235,60,680,625,3,935,320,25,50,20,60,205,845,1105,63.8,58.4,330,40,170,75
ARGYLL (6010) ( 6.0%),Bonnie Doon,Edmonton,1,35,37,1,630,111,741,0,9,89895,0.010067301,140,630,90,45,435,465,2.7,750,150,30,0,20,110,190,470,770,76,71.4,410,60,40,30
AVONMORE (6020) ( 6.5%),Bonnie Doon,Edmonton,1,87,91,3,1570,278,1848,0,57,89895,0.025084821,370,1465,340,75,1140,1110,2.7,1935,295,45,20,145,240,470,1180,1885,67.1,63.1,930,100,85,255
