local_health_area,zone,population,age_0_14,age_15_64,age_65_84,age_over_85,male,female,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,population_over_15,driver_passenger,public_transit,walked_bike,low_income,avg_household_size,labour_participation_rate,employement_rate,total_cases,active_cases,recovered_cases,deaths,dose_1,dose_2,total_dose_administered,total_outbreaks
Abbottsfield,Edmonton,13300,2605,8875,1585,245,6740,6565,10300,2795,675,210,1420,2750,3225,4705,10695,4590,770,170,2555,2.92,64.2,56.02,781,34,737,10,6904,1170,8074,0
Bonnie Doon,Edmonton,89895,10675,66995,10440,1780,45500,44350,70415,14965,3940,4505,4815,8565,19580,51075,79210,34375,7795,6135,10245,2.667741935,70.42258065,64.69354839,3639,56,3477,106,62581,11070,73651,0
Castle Downs,Edmonton,69790,14980,47605,6670,540,34535,35265,47365,21495,4215,960,3370,9875,16390,28545,54810,30020,3260,635,7355,3.065,72.09,66.84,5450,142,5286,22,40272,6698,46970,5
Duggan,Edmonton,37480,6240,26235,4510,480,18540,18915,22745,12040,4530,2690,1500,3585,7730,19915,31230,12520,4335,1140,5495,2.616666667,66.49166667,60.425,1902,55,1778,69,24806,4735,29541,8
Eastwood,Edmonton,57240,6440,44410,5575,780,29965,27260,38820,15705,4410,2705,5525,10310,13385,27080,50790,18875,6220,4505,11310,2.652941176,68.64117647,61.81176471,4123,102,3899,122,37871,5764,43635,7
Jasper Place,Edmonton,93155,18380,64780,8935,1045,45885,47270,64310,27500,6070,1350,4260,9350,19535,45880,74770,41300,5370,1205,5825,3.012121212,72.93333333,68.38787879,2777,88,2553,136,26119,5130,31249,2
Mill Woods South & East,Edmonton,66245,13975,46600,5355,305,33395,32845,40620,24255,6785,1340,2670,8180,15990,28125,52260,29205,3665,500,5160,3.073333333,73.66666667,66.84666667,6295,191,6065,39,50327,5509,55836,7
Mill Woods West,Edmonton,39225,7985,26510,4295,445,19345,19875,23925,14095,4805,1195,1935,5850,9440,15970,31250,14680,2980,605,5550,2.961538462,67.30769231,60.3,3201,61,3096,44,28925,4399,33324,4
NE,Edmonton,80730,16475,56710,7060,485,40095,40620,55630,23735,5695,1355,6120,12415,20280,31540,64245,32135,6675,970,9140,2.955555556,72.51111111,64.78518519,6141,161,5915,65,47265,6599,53864,6
Northgate,Edmonton,71650,13220,48735,8610,1105,35860,35775,47935,22670,4070,1020,4870,13950,18645,25840,58445,28470,4395,875,9195,3,67.03684211,60.52105263,5606,122,5410,74,45636,8726,54362,11
Rutherford,Edmonton,85645,19705,61825,3870,235,42825,42820,50735,32960,9275,1990,2165,6215,15135,44625,65930,39205,5605,480,4695,2.977272727,79.98181818,73.15454545,7348,221,7097,30,66911,8594,75505,16
Twin Brooks,Edmonton,72810,13615,49125,9215,865,35840,36990,47905,23340,3970,1570,1540,5475,13040,40665,59190,29340,4325,765,4605,3.044,67.98,62.788,2776,65,2684,27,52094,11075,63169,8
West Jasper Place,Edmonton,41705,6810,29115,4980,795,20330,21385,27545,12845,4955,1330,3475,6180,10625,18090,34880,15870,3640,1415,5855,2.776923077,69.33846154,63.18461538,5387,136,5224,27,67093,11803,78896,14
Woodcroft East,Edmonton,54135,5950,42105,5310,775,27885,26255,37250,14625,5295,2250,4160,6830,13090,28295,48195,19645,6485,4360,8585,2.727272727,72.4,64.72727273,3447,68,3279,100,34093,6118,40211,10
Woodcroft West,Edmonton,28525,4910,20250,2900,445,14440,14055,21730,6160,1865,625,2130,4015,6430,13145,23585,11695,1805,800,3130,2.821428571,73.95714286,67.63571429,1701,37,1645,19,19757,3343,23100,13
Centre,Calgary,50992,3425,42655,4245,680,26680,24300,31955,15845,5185,3220,1465,3635,9290,34640,47580,14230,6100,11580,8275,1.830769231,0.745384615,0.675384615,3705,111,3579,15,42079,5206,47285,16
Centre North,Calgary,38900,5085,29830,3520,470,19170,19725,30170,7620,1530,1100,1150,2570,6810,24440,33820,12700,3395,5395,4140,2.111111111,0.748888889,0.682222222,2132,37,1997,98,29825,5376,35201,6
Centre West,Calgary,59540,9445,43885,5470,755,29065,30490,46525,11730,3205,1295,1985,4695,11725,33700,50120,24635,5185,3155,6410,2.235714286,0.755714286,0.694285714,3010,80,2905,25,42362,7170,49532,17
East,Calgary,64245,11305,45785,6610,540,33300,30940,55920,19515,4950,1390,4025,14755,17340,20845,52920,25430,5155,995,9750,2.622222222,0.695555556,69.99333333,4663,181,4408,74,36124,4907,41031,19
Elbow,Calgary,50890,7000,36390,8595,890,25310,25590,38910,10845,2185,1155,1190,4055,10240,29635,43920,18800,3215,3275,3830,2.430434783,0.681304348,0.618695652,1855,51,1769,35,27189,6367,33556,7
Fish Creek,Calgary,105190,15840,72920,14890,1585,52440,52740,80390,23025,5100,1780,3570,10865,25340,53160,89360,41580,7750,2295,8675,2.447368421,0.702631579,0.634210526,4373,169,4162,42,69524,12409,81933,29
Lower NE,Calgary,86115,16350,59565,9445,745,43690,42440,48895,35850,9340,1370,3300,16815,23080,25944.6,60820.35,31840,6824.4,915,11865,2.988888889,0.682222222,0.608888889,7832,270,7538,24,49830,7042,56872,26
Lower NW,Calgary,58890,11470,39500,7140,775,29025,29860,42665,30680,3020,1755,1000,4040,9970,33415,47420,20275,4320,1840,4020,2.728571429,0.68,0.614285714,2201,55,2131,15,42406,7566,49972,3
North,Calgary,101290,22230,71375,7245,450,50355,50920,61705,38110,7730,1455,2400,11505,21455,46100,79075,42810,6845,1010,7625,2.877777778,0.748888889,0.685555556,6246,215,6010,21,70975,8685,79660,20
Nosehill,Calgary,72285,10620,52155,8145,1370,36657,35660,53705,16440,3840,2140,2470,8665,15895,37400,61650,26355,6780,3050,8520,2.355555556,0.726111111,0.65,3343,133,3195,15,47986,7372,55358,23
SE,Calgary,111615,26575,78780,6010,240,55705,55900,84530,25850,6260,1240,3210,9040,21990,54040,85055,50265,5470,1485,5390,2.66,0.782,0.717,6729,229,6469,31,78166,9876,88042,20
SW,Calgary,103860,21470,73810,7985,595,51495,52365,65075,37210,8970,1585,2585,9425,21720,51280,82395,40510,9470,1075,6705,2.825,0.755,0.68,6315,207,6043,65,71230,11127,82357,15
Upper NE,Calgary,92265,22535,63670,5710,360,46660,45610,38060,52250,14520,1970,1935,15185,21475,33095,69740,35085,8100,580,10480,3.6,0.734,0.656,13943,502,13364,77,66957,6407,73364,40
Upper NW,Calgary,117205,21845,82380,11840,1145,57840,59355,70670,44300,7940,2200,1970,10060,21810,63504,95350,43680,9050,1405,8855,2.928571429,0.719285714,0.646428571,5540,151,5357,32,79159,12149,91308,23
West,Calgary,87725,18310,60225,8190,1025,42560,45155,59265,26726,5200,1720,1690,6670,14395,48345,69415,30890,6925,1465,6000,2.70625,0.71875,0.64875,3720,116,3584,20,60383,9902,70285,15
West Bow,Calgary,18820,2500,13720,2360,265,9395,9430,15540,2795,610,485,1155,2460,4140,9725,16325,7285,1225,975,2370,2,0.686,0.624,882,18,851,13,12972,2736,15708,4
