num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
0,ABBOTTSFIELD (2010) ( 9.9%),Abbottsfield,Edmonton,4,94,100,1,880,149,1029,0,safe,216,13300,0.127443609,450,1165,85,0,835,860,3.1,1035,540,175,120,175,330,415,495.0,1245.0,67.1,58.2,480,140.0,25,480.0
1,BEACON HEIGHTS (2040) ( 5.8%),Abbottsfield,Edmonton,7,156,165,2,1461,248,1709,0,safe,596,13300,0.211654135,330,2010,410,70,1445,1375,2.7,2295,515,45,10,315,750,770,960.0,2485.0,61.4,53.9,1075,165.0,45,360.0
2,BERGMAN (2090) ( 4.6%),Abbottsfield,Edmonton,4,90,95,1,841,143,983,0,safe,197,13300,0.121804511,280,1145,175,20,815,805,2.9,1335,285,30,0,80,320,400,615.0,1340.0,69.0,61.9,690,80.0,25,120.0
3,BEVERLY HEIGHTS (2100) ( 6.1%),Abbottsfield,Edmonton,9,197,209,3,1848,313,2161,0,safe,953,13300,0.267669173,585,2305,550,120,1815,1745,2.8,3075,465,70,20,400,640,840,1495.0,2975.0,61.2,53.6,1275,190.0,45,580.0
4,RUNDLE HEIGHTS (2660) ( 4.4%),Abbottsfield,Edmonton,9,200,212,3,1874,318,2192,0,safe,980,13300,0.271428571,960,2250,365,35,1830,1780,3.1,2560,990,355,60,450,710,800,1140.0,2650.0,62.3,52.5,1070,195.0,30,1015.0
5,KINGLET GARDENS (4477) ( 4.4%),Bonnie Doon,Edmonton,0,8,8,0,136,24,160,0,safe,0,89895,0.002169197,15,130,55,0,100,95,2.7,135,65,0,0,0,10,55,115.0,180.0,59.5,62.2,90,0.0,0,
6,ALLENDALE (5010) ( 8.1%),Bonnie Doon,Edmonton,2,113,118,3,2033,360,2392,0,safe,95,89895,0.032482341,325,2340,235,25,1555,1360,2.8,2335,460,120,125,135,315,785,1495.0,2595.0,77.9,69.6,1275,315.0,145,320.0
7,BELGRAVIA (5040) ( 3.9%),Bonnie Doon,Edmonton,1,90,94,3,1615,286,1901,0,safe,60,89895,0.025807887,395,1535,330,55,1105,1215,3.0,1665,565,60,85,45,110,325,1490.0,1925.0,65.5,61.8,610,250.0,200,165.0
8,GARNEAU (5200) ( 8.0%),Bonnie Doon,Edmonton,4,261,273,8,4699,831,5530,0,safe,507,89895,0.075087602,205,5980,500,60,3440,3310,2.3,3775,1375,445,1595,175,185,1710,4645.0,6545.0,66.8,60.3,1640,755.0,1265,2025.0
9,LENDRUM PLACE (5270) ( 4.6%),Bonnie Doon,Edmonton,1,73,76,2,1305,231,1536,0,safe,39,89895,0.020857667,265,1240,310,60,965,910,2.8,1420,410,105,45,70,145,360,1105.0,1605.0,59.6,57.8,610,170.0,100,160.0
10,MCKERNAN (5290) ( 6.2%),Bonnie Doon,Edmonton,2,97,101,3,1737,307,2044,0,safe,69,89895,0.027754603,215,2025,205,45,1310,1185,2.6,1800,425,55,275,70,110,555,1620.0,2280.0,76.5,69.5,800,320.0,360,350.0
11,PARKALLEN (5310) ( 3.2%),Bonnie Doon,Edmonton,1,90,95,3,1626,288,1913,0,safe,61,89895,0.025974748,330,1785,200,20,1160,1170,2.8,1940,330,65,65,75,135,540,1330.0,2005.0,78.8,74.3,775,315.0,235,150.0
12,PLEASANTVIEW (5320) ( 5.5%),Bonnie Doon,Edmonton,2,148,155,5,2670,472,3142,0,safe,164,89895,0.042660882,570,2770,465,35,1880,1955,2.7,2515,1145,450,175,135,305,835,2125.0,3265.0,74.0,67.3,1455,435.0,165,450.0
13,QUEEN ALEXANDRA (5330) ( 7.9%),Bonnie Doon,Edmonton,3,185,194,6,3335,590,3924,0,safe,255,89895,0.053284387,375,3930,430,50,2405,2380,2.5,3315,1035,395,440,285,335,980,3100.0,4415.0,76.4,68.1,1635,665.0,535,840.0
14,STRATHCONA (5480) ( 8.5%),Bonnie Doon,Edmonton,5,337,353,10,6074,1074,7148,0,safe,847,89895,0.097057678,710,7120,825,70,4505,4220,2.5,6430,1640,500,655,415,600,1660,5755.0,8015.0,80.2,74.9,3340,1115.0,1105,1150.0
15,WINDSOR PARK (5580) ( 3.0%),Bonnie Doon,Edmonton,1,51,53,2,912,161,1073,0,safe,19,89895,0.014572557,205,815,235,60,680,625,3.0,935,320,25,50,20,60,205,845.0,1105.0,63.8,58.4,330,40.0,170,75.0
16,ARGYLL (6010) ( 6.0%),Bonnie Doon,Edmonton,1,35,37,1,630,111,741,0,safe,9,89895,0.010067301,140,630,90,45,435,465,2.7,750,150,30,0,20,110,190,470.0,770.0,76.0,71.4,410,60.0,40,30.0
