date,location,cases_total,cases_active,cases_recovered,deaths
2020/04/26,Centre,67,36.0,30.0,1.0
2021/03/17,Centre,2233,110.0,2112.0,11.0
2020/08/09,Centre,324,10.0,313.0,1.0
2021/01/08,Centre,1852,164.0,1680.0,8.0
2020/10/21,Centre,535,56.0,477.0,2.0
2020/11/15,Centre,887,231.0,653.0,3.0
2020/12/11,Centre,1455,326.0,1123.0,6.0
2020/06/12,Centre,170,18.0,151.0,1.0
2021/01/24,Centre,1972,115.0,1849.0,8.0
2021/02/01,Centre,2024,101.0,1914.0,9.0
2021/02/19,Centre,2097,83.0,2005.0,9.0
2021/05/15,Centre,3577,290.0,3274.0,13.0
2020/06/26,Centre,202,34.0,167.0,1.0
2021/02/14,Centre,2073,78.0,1986.0,9.0
2021/03/16,Centre,2223,107.0,2105.0,11.0
2020/09/17,Centre,416,22.0,393.0,1.0
2020/04/19,Centre,42,14.0,28.0,0.0
2020/07/12,Centre,231,25.0,205.0,1.0
2020/09/10,Centre,401,30.0,370.0,1.0
2020/12/10,Centre,1440,329.0,1105.0,6.0
2021/03/01,Centre,2123,101.0,2012.0,10.0
2020/12/12,Centre,1483,330.0,1147.0,6.0
2020/05/18,Centre,140,32.0,107.0,1.0
2020/06/17,Centre,181,25.0,155.0,1.0
2021/05/23,Centre,3649,154.0,3482.0,13.0
2021/05/09,Centre,3479,365.0,3103.0,11.0
2021/03/20,Centre,2265,123.0,2131.0,11.0
2020/08/24,Centre,356,29.0,326.0,1.0
2021/05/24,Centre,3661,147.0,3501.0,13.0
2020/10/13,Centre,488,46.0,440.0,2.0
2020/08/13,Centre,328,9.0,318.0,1.0
2020/12/06,Centre,1349,325.0,1019.0,5.0
2020/05/16,Centre,135,31.0,103.0,1.0
2020/06/24,Centre,192,25.0,166.0,1.0
2020/04/29,Centre,79,44.0,34.0,1.0
2020/10/22,Centre,537,52.0,483.0,2.0
2020/03/31,Centre,20,,,
2020/11/16,Centre,901,232.0,666.0,3.0
2021/05/01,Centre,3269,341.0,2917.0,11.0
2021/02/13,Centre,2067,86.0,1972.0,9.0
2020/07/16,Centre,250,39.0,210.0,1.0
2021/01/11,Centre,1875,155.0,1713.0,7.0
2021/04/11,Centre,2754,362.0,2381.0,11.0
2020/08/19,Centre,344,22.0,321.0,1.0
2021/03/21,Centre,2274,130.0,2133.0,11.0
2020/12/05,Centre,1334,335.0,994.0,5.0
2021/01/23,Centre,1963,113.0,1842.0,8.0
2020/04/14,Centre,33,8.0,25.0,0.0
2020/12/09,Centre,1420,343.0,1071.0,6.0
2020/10/29,Centre,607,91.0,513.0,3.0
2020/12/07,Centre,1362,322.0,1035.0,5.0
2020/05/26,Centre,152,28.0,122.0,2.0
2020/10/01,Centre,442,22.0,419.0,1.0
2020/06/04,Centre,151,7.0,142.0,2.0
2021/04/13,Centre,2805,372.0,2422.0,11.0
2021/01/09,Centre,1855,153.0,1695.0,7.0
2020/07/13,Centre,236,29.0,206.0,1.0
2020/05/17,Centre,138,32.0,105.0,1.0
2020/06/25,Centre,195,28.0,166.0,1.0
2020/04/03,Centre,26,,,
2020/09/24,Centre,432,24.0,407.0,1.0
2021/05/05,Centre,3374,351.0,3012.0,11.0
2020/04/22,Centre,48,19.0,29.0,0.0
2020/12/08,Centre,1397,337.0,1054.0,6.0
2021/05/14,Centre,3565,310.0,3242.0,13.0
2021/01/10,Centre,1869,156.0,1706.0,7.0
2020/10/15,Centre,498,50.0,446.0,2.0
2021/02/02,Centre,2030,102.0,1919.0,9.0
2020/08/03,Centre,319,31.0,287.0,1.0
2021/04/21,Centre,3002,364.0,2627.0,11.0
2020/07/15,Centre,248,38.0,209.0,1.0
2021/02/28,Centre,2119,100.0,2009.0,10.0
2020/05/04,Centre,109,64.0,44.0,1.0
2021/03/18,Centre,2249,122.0,2116.0,11.0
2021/05/22,Centre,3647,180.0,3455.0,12.0
2020/08/23,Centre,356,30.0,325.0,1.0
2020/11/12,Centre,828,200.0,625.0,3.0
2020/08/20,Centre,348,24.0,323.0,1.0
2021/03/09,Centre,2165,82.0,2072.0,11.0
2020/05/02,Centre,102,62.0,39.0,1.0
2021/05/07,Centre,3439,362.0,3066.0,11.0
2020/09/13,Centre,409,32.0,376.0,1.0
2020/12/20,Centre,1658,275.0,1376.0,7.0
2021/01/03,Centre,1795,149.0,1638.0,8.0
2021/01/28,Centre,1997,94.0,1895.0,8.0
2021/02/18,Centre,2101,82.0,2010.0,9.0
2021/05/19,Centre,3624,234.0,3378.0,12.0
2020/11/03,Centre,666,130.0,533.0,3.0
2020/08/05,Centre,318,18.0,299.0,1.0
2020/07/05,Centre,215,28.0,186.0,1.0
2021/04/27,Centre,3151,337.0,2803.0,11.0
2021/03/10,Centre,2177,90.0,2076.0,11.0
2020/06/28,Centre,206,32.0,173.0,1.0
2020/05/21,Centre,144,30.0,112.0,2.0
2021/05/08,Centre,3461,366.0,3084.0,11.0
2020/12/19,Centre,1639,287.0,1345.0,7.0
2020/05/24,Centre,149,28.0,119.0,2.0
2020/10/05,Centre,461,30.0,429.0,2.0
2020/11/09,Centre,769,184.0,582.0,3.0
2020/04/20,Centre,42,14.0,28.0,0.0
2021/02/16,Centre,2092,84.0,1999.0,9.0
2020/12/18,Centre,1620,288.0,1325.0,7.0
2020/04/11,Centre,31,10.0,21.0,0.0
2020/06/14,Centre,172,19.0,152.0,1.0
2021/03/05,Centre,2145,105.0,2030.0,10.0
2020/08/06,Centre,322,18.0,303.0,1.0
2021/01/27,Centre,1993,99.0,1886.0,8.0
2020/12/28,Centre,1743,217.0,1517.0,9.0
2021/03/07,Centre,2156,92.0,2053.0,11.0
2020/05/23,Centre,147,27.0,118.0,2.0
2020/10/14,Centre,493,48.0,443.0,2.0
2020/07/01,Centre,208,28.0,179.0,1.0
2020/06/02,Centre,153,13.0,138.0,2.0
2020/12/27,Centre,1731,223.0,1499.0,9.0
2021/05/17,Centre,3601,267.0,3321.0,13.0
2020/12/29,Centre,1749,199.0,1542.0,8.0
2020/11/08,Centre,750,174.0,573.0,3.0
2021/05/18,Centre,3608,249.0,3347.0,12.0
2021/03/08,Centre,2160,88.0,2061.0,11.0
2020/06/29,Centre,210,34.0,175.0,1.0
2021/04/18,Centre,2929,375.0,2543.0,11.0
2021/01/26,Centre,1989,107.0,1874.0,8.0
2020/06/15,Centre,175,21.0,153.0,1.0
2021/02/17,Centre,2097,86.0,2002.0,9.0
2020/12/22,Centre,1697,271.0,1419.0,7.0
2020/09/23,Centre,431,24.0,406.0,1.0
2020/05/22,Centre,146,28.0,116.0,2.0
2020/04/12,Centre,32,10.0,22.0,0.0
2020/07/02,Centre,209,27.0,181.0,1.0
2021/04/17,Centre,2912,391.0,2510.0,11.0
2020/08/12,Centre,327,10.0,316.0,1.0
2020/12/21,Centre,1673,268.0,1398.0,7.0
2020/05/01,Centre,96,57.0,38.0,1.0
2021/01/04,Centre,1799,138.0,1653.0,8.0
2021/03/04,Centre,2137,101.0,2026.0,10.0
2020/06/01,Centre,152,15.0,135.0,2.0
2021/03/13,Centre,2197,92.0,2094.0,11.0
2021/02/15,Centre,2079,77.0,1993.0,9.0
2020/07/08,Centre,219,25.0,193.0,1.0
2020/12/14,Centre,1528,321.0,1201.0,6.0
2020/05/03,Centre,109,66.0,42.0,1.0
2021/02/03,Centre,2032,101.0,1921.0,10.0
2020/10/07,Centre,466,33.0,431.0,2.0
2020/05/19,Centre,142,33.0,108.0,1.0
2020/10/04,Centre,453,23.0,429.0,1.0
2020/09/03,Centre,387,39.0,347.0,1.0
