name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
beltline,Centre,45.0,1464.0,1516.0,6.0,17214.0,2130.0,19344.0,7.0,20860,50992.0,0.4090837778475055,915,18420,1350,180,11270,9595,1.5,13575,6175,1965,1110,515,1260,3585,15105.0,19945.0,0.84,0.77,5965,1900.0,6355,3020
chinatown,Centre,3.0,110.0,114.0,0.0,1296.0,160.0,1456.0,0.0,1570,50992.0,0.030789143395042358,75,1000,330,165,745,830,1.5,415,1045,160,115,10,410,335,750.0,1500.0,0.56,0.52,255,165.0,325,490
downtown-east-village,Centre,4.0,121.0,125.0,1.0,1423.0,176.0,1600.0,1.0,1725,50992.0,0.033828835895826796,35,1265,395,30,940,780,1.4,1050,575,80,105,50,265,330,1100.0,1690.0,0.63,0.58,455,180.0,300,410
downtown-west-end,Centre,5.0,148.0,153.0,1.0,1737.0,215.0,1952.0,1.0,2105,50992.0,0.041280985252588644,115,1735,220,30,1110,990,1.6,1045,950,210,110,20,105,320,1560.0,1990.0,0.76,0.7,425,405.0,315,375
downtown-commercial-core,Centre,16.0,530.0,548.0,2.0,6228.0,771.0,6998.0,2.0,7547,50992.0,0.1480036084091622,765,6290,435,55,3970,3575,1.7,2790,3525,1775,1235,180,590,1350,4845.0,6780.0,0.77,0.69,1075,1720.0,1635,1865
eau-claire,Centre,3.0,112.0,116.0,0.0,1320.0,163.0,1484.0,1.0,1600,50992.0,0.031377470975839344,60,1095,390,50,810,790,1.6,960,515,130,125,15,55,270,1210.0,1540.0,0.64,0.57,290,80.0,435,140
Inglewood,Centre,8.0,270.0,279.0,1.0,3173.0,393.0,3565.0,1.0,3845,50992.0,0.07540398493881394,390,3105,335,10,1915,1920,1.8,3265,510,95,65,210,235,755,2460.0,3450.0,0.83,0.76,1640,270.0,410,490
Manchester,Centre,2.0,53.0,54.0,0.0,619.0,77.0,695.0,0.0,750,50992.0,0.014708189519924694,90,635,30,0,405,345,1.7,375,325,185,50,50,55,180,425.0,665.0,0.73,0.62,230,115.0,55,220
Mission,Centre,9.0,291.0,301.0,1.0,3420.0,423.0,3844.0,1.0,4145,50992.0,0.08128726074678382,50,3600,410,85,1980,2170,1.4,3260,760,180,130,105,165,750,3180.0,4100.0,0.83,0.78,1495,475.0,960,420
Ramsay,Centre,5.0,148.0,153.0,1.0,1741.0,215.0,1957.0,1.0,2110,50992.0,0.04137903984938814,305,1655,125,35,1085,1020,2.1,1760,345,60,10,140,220,475,1105.0,1805.0,0.82,0.73,780,160.0,220,240
Scarboro,Centre,2.0,75.0,78.0,0.0,887.0,110.0,997.0,0.0,1075,50992.0,0.02108173831189206,240,750,55,30,575,500,3.3,925,145,20,10,0,65,165,605.0,835.0,0.71,0.62,295,65.0,95,15
Scarboro/Sunalta West,Centre,1.0,31.0,32.0,0.0,367.0,45.0,413.0,0.0,445,50992.0,0.00872685911515532,55,330,55,10,245,195,2.5,325,100,0,20,20,40,100,250.0,395.0,0.7,0.65,190,20.0,20,45
Sunalta,Centre,7.0,226.0,234.0,1.0,2653.0,328.0,2981.0,1.0,3215,50992.0,0.06304910574207719,330,2775,115,0,1630,1590,1.7,2210,875,325,135,150,170,675,2045.0,2885.0,0.87,0.79,1135,545.0,455,545
bridgeland-riverside,Centre North,5.0,282.0,301.0,14.0,4205.0,758.0,4963.0,1.0,5485,38900.0,0.1410025706940874,610,4170,605,105,2665,2820,1.8,4090,1265,315,130,225,555,1155,3165.0,4875.0,0.73,0.68,1765,510.0,680,965
crescent-heights,Centre North,6.0,300.0,320.0,15.0,4481.0,808.0,5289.0,1.0,5845,38900.0,0.15025706940874037,555,4700,540,60,2985,2860,1.8,4170,1490,350,185,160,420,1215,3655.0,5295.0,0.81,0.74,2020,510.0,1030,655
Hillhurst,Centre North,5.0,277.0,296.0,14.0,4136.0,746.0,4882.0,1.0,5395,38900.0,0.13868894601542417,815,4105,450,20,2610,2790,2.0,4180,1030,210,190,120,250,800,3530.0,4585.0,0.78,0.71,1545,490.0,825,645
Hounsfield Heights/Brirar Hill,Centre North,2.0,123.0,131.0,6.0,1832.0,330.0,2163.0,0.0,2390,38900.0,0.061439588688946015,355,1625,340,70,1195,1190,2.3,1915,400,55,70,80,185,485,1370.0,2035.0,0.64,0.58,630,225.0,150,220
Renfrew,Centre North,6.0,339.0,362.0,17.0,5064.0,913.0,5977.0,1.0,6605,38900.0,0.1697943444730077,965,5205,370,65,3200,3395,2.1,5430,1110,190,65,255,485,1255,3900.0,5635.0,0.81,0.75,2660,530.0,680,545
Rosedale,Centre North,2.0,83.0,89.0,4.0,1238.0,223.0,1461.0,0.0,1615,38900.0,0.04151670951156812,260,1140,205,10,795,825,2.7,1310,270,40,30,10,125,235,1000.0,1355.0,0.65,0.54,385,45.0,185,120
St. Andrews Heights,Centre North,1.0,72.0,77.0,4.0,1073.0,193.0,1267.0,0.0,1400,38900.0,0.03598971722365039,190,1020,160,30,695,705,2.4,1060,270,30,70,40,65,205,940.0,1210.0,0.7,0.64,395,140.0,185,70
Sunnyside​,Centre North,4.0,198.0,212.0,10.0,2963.0,534.0,3497.0,1.0,3865,38900.0,0.0993573264781491,260,3320,245,40,1900,1965,1.7,3015,660,130,185,95,110,580,2910.0,3605.0,0.85,0.78,1145,490.0,950,400
West Hillhurst,Centre North,6.0,323.0,345.0,16.0,4830.0,871.0,5701.0,1.0,6300,38900.0,0.16195372750642673,1075,4545,605,70,3125,3175,2.2,5000,1125,210,175,165,375,880,3970.0,5225.0,0.77,0.72,2155,455.0,710,520
altadore,Centre West,9.0,331.0,343.0,3.0,4827.0,817.0,5645.0,2.0,6785,59540.0,0.11395700369499497,1360,4990,390,45,3265,3525,2.3,5690,915,255,180,160,340,945,4140.0,5425.0,0.8,0.74,2875,455.0,265,445
bankview,Centre West,7.0,253.0,262.0,2.0,3686.0,624.0,4309.0,1.0,5180,59540.0,0.08700033590863285,400,4480,290,15,2670,2505,1.6,3930,1095,300,155,210,350,1225,3205.0,4785.0,0.85,0.77,2280,620.0,495,885
currie-barracks,Centre West,1.0,38.0,39.0,0.0,548.0,93.0,641.0,0.0,770,59540.0,0.012932482364796775,165,545,60,0,380,395,2.8,580,190,75,0,25,20,105,480.0,605.0,0.73,0.69,275,55.0,25,35
Garrison Woods,Centre West,4.0,134.0,139.0,1.0,1953.0,331.0,2284.0,1.0,2745,59540.0,0.04610345985891837,565,1920,230,30,1270,1475,2.2,2250,430,85,65,60,100,280,1800.0,2180.0,0.78,0.74,2220,165.0,125,80
Glamorgan,Centre West,8.0,302.0,313.0,3.0,4408.0,746.0,5154.0,2.0,6195,59540.0,0.10404769902586497,905,4460,765,70,2985,3215,2.2,4615,1510,595,70,200,565,1595,3135.0,5295.0,0.74,0.66,2530,425.0,230,680
Glenbrook,Centre West,10.0,355.0,368.0,3.0,5173.0,875.0,6048.0,2.0,7270,59540.0,0.12210278804165267,1270,5220,670,105,3535,3740,2.3,5235,1890,585,145,375,795,1700,3505.0,6000.0,0.74,0.66,2665,680.0,270,1055
Glendale,Centre West,4.0,141.0,146.0,1.0,2056.0,348.0,2404.0,1.0,2890,59540.0,0.04853879744709439,495,2055,305,45,1480,1410,2.6,2325,525,65,45,65,265,685,1445.0,2395.0,0.73,0.67,910,340.0,115,280
Killarney Glengarry,Centre West,10.0,367.0,380.0,3.0,5347.0,905.0,6252.0,2.0,7515,59540.0,0.126217668794088,1075,5795,555,90,3680,3840,2.1,5760,1480,470,275,245,665,1345,4430.0,6440.0,0.8,0.74,3090,920.0,310,735
Lakeview,Centre West,7.0,266.0,276.0,2.0,3881.0,657.0,4538.0,2.0,5455,59540.0,0.09161907961034599,855,3495,945,165,2690,2765,2.4,4535,855,150,65,190,445,1035,3125.0,4605.0,0.64,0.58,1895,250.0,225,425
Lincoln Park,Centre West,3.0,93.0,97.0,1.0,1362.0,231.0,1593.0,1.0,1915,59540.0,0.032163251595566,355,1280,210,70,790,1120,1.9,1340,495,115,80,85,180,435,940.0,1560.0,0.64,0.56,635,95.0,95,645
Richmond,Centre West,6.0,232.0,241.0,2.0,3390.0,574.0,3964.0,1.0,4765,59540.0,0.08003023177695667,735,3625,355,50,2425,2335,2.2,3835,855,210,70,135,305,805,2920.0,4035.0,0.8,0.74,1895,490.0,600,445
Rutland Park​,Centre West,3.0,111.0,116.0,1.0,1626.0,275.0,1901.0,1.0,2285,59540.0,0.038377561303325494,360,1480,405,40,1040,1250,2.4,1795,475,30,25,45,305,610,1020.0,1930.0,0.69,0.63,820,190.0,95,170
South Calgary,Centre West,5.0,200.0,207.0,2.0,2910.0,493.0,3403.0,1.0,4090,59540.0,0.06869331541820625,485,3340,235,30,2055,2035,1.9,3285,710,210,90,155,300,770,2540.0,3605.0,0.82,0.77,1825,420.0,255,435
Garrison Green,Centre West,2.0,82.0,85.0,1.0,1195.0,202.0,1398.0,0.0,1680,59540.0,0.0282163251595566,420,1200,55,0,800,880,2.4,1350,305,60,30,35,60,190,1015.0,1260.0,0.82,0.77,720,80.0,50,95
albert-park-radisson-heights,East,19.0,456.0,482.0,8.0,3734.0,507.0,4241.0,2.0,6640,64245.0,0.103354346641762,1140,4840,600,65,3490,3150,2.5,4065,2355,720,220,410,1360,1630,2510.0,5500.0,0.72,625.0,2875,455.0,265,1240
applewood-park,East,19.0,470.0,497.0,8.0,3852.0,523.0,4375.0,2.0,6850,64245.0,0.10662308350844424,1265,5010,525,40,3460,3385,3.1,3260,3435,740,145,105,1455,2085,2035.0,5575.0,0.74,0.67,2960,600.0,20,705
dover,East,31.0,749.0,792.0,13.0,6135.0,833.0,6968.0,3.0,10910,64245.0,0.1698186629309674,1700,7555,1530,120,5550,5360,2.3,8275,2400,445,230,740,2570,3005,3630.0,9205.0,0.66,0.59,4380,760.0,85,1815
erin-woods,East,20.0,487.0,515.0,8.0,3989.0,542.0,4531.0,2.0,7095,64245.0,0.11043660985290685,1620,5015,430,25,3510,3585,3.0,4840,2155,540,95,530,1445,2050,1980.0,5470.0,0.76,0.69,3040,495.0,75,900
Forest Heights,East,18.0,432.0,457.0,7.0,3540.0,481.0,4020.0,2.0,6295,64245.0,0.09798427893221262,1190,4420,655,40,3225,3070,2.9,3655,2480,745,160,310,1460,1535,2115.0,5105.0,0.68,0.6,2215,680.0,135,955
Forest Lawn,East,21.0,508.0,537.0,9.0,4164.0,566.0,4729.0,2.0,7405,64245.0,0.11526188808467586,1165,5420,740,85,4095,3310,2.5,5200,2005,665,200,765,2145,2030,2070.0,6240.0,0.65,0.56,2510,635.0,160,1520
Ogden,East,24.0,590.0,624.0,10.0,4836.0,657.0,5493.0,3.0,8600,64245.0,0.13386255739746283,1295,6225,1005,70,4505,4095,2.3,7155,1345,345,105,535,1645,2325,3340.0,7305.0,0.7,0.64,3620,645.0,140,1075
Penbrooke Meadows,East,24.0,592.0,626.0,10.0,4850.0,659.0,5508.0,3.0,8625,64245.0,0.13425169273873452,1665,6010,895,60,4455,4175,2.8,5460,3010,680,155,505,2265,2235,2460.0,6965.0,0.67,0.6,3185,730.0,60,1270
Southview,East,5.0,125.0,132.0,2.0,1026.0,139.0,1166.0,1.0,1825,64245.0,0.028406879912833683,265,1290,230,35,1010,810,2.2,14010,330,70,80,125,410,445,705.0,1555.0,0.68,0.59,645,155.0,55,270
bayview,Elbow,1.0,26.0,27.0,1.0,395.0,93.0,488.0,0.0,740,50890.0,0.014541167223423069,150,395,155,40,340,405,3.0,635,100,0,10,15,35,105,450.0,595.0,0.55,0.51,210,15.0,10,10
bel-aire,Elbow,0.0,13.0,14.0,0.0,206.0,48.0,254.0,0.0,385,50890.0,0.007565337001375516,40,250,75,20,180,200,2.8,315,65,0,0,0,20,70,260.0,350.0,0.56,0.49,120,0.0,10,15
britannia,Elbow,1.0,25.0,26.0,0.0,387.0,91.0,478.0,0.0,725,50890.0,0.014246413833759089,130,495,75,30,365,365,2.7,580,115,20,30,0,40,100,460.0,600.0,0.63,0.57,225,30.0,25,55
chinook-park,Elbow,2.0,53.0,56.0,1.0,820.0,192.0,1012.0,0.0,1535,50890.0,0.03016309687561407,265,1050,175,45,775,760,2.7,1200,330,90,10,10,105,270,900.0,1275.0,0.65,0.6,480,130.0,65,95
cliff-bungalow,Elbow,2.0,66.0,69.0,1.0,1007.0,236.0,1243.0,0.0,1885,50890.0,0.03704067596777363,105,1625,145,10,940,945,1.6,1495,345,85,50,85,75,280,1430.0,1780.0,0.85,0.81,615,130.0,580,230
eagle-ridge,Elbow,0.0,11.0,11.0,0.0,168.0,39.0,208.0,0.0,315,50890.0,0.006189821182943604,60,175,70,0,150,160,2.8,270,45,0,0,0,20,75,160.0,250.0,0.56,0.52,100,10.0,0,0
elbow-park,Elbow,3.0,119.0,125.0,2.0,1835.0,430.0,2265.0,0.0,3435,50890.0,0.06749852623305168,770,2260,370,35,1710,1725,3.1,2960,350,15,125,50,190,405,2075.0,2670.0,0.68,0.62,1080,95.0,200,110
elboya,Elbow,2.0,57.0,59.0,1.0,871.0,204.0,1075.0,0.0,1630,50890.0,0.03202986834348595,290,1115,2220,15,860,775,2.3,1265,285,45,90,15,135,285,920.0,1345.0,0.73,0.68,625,110.0,80,135
