date,local_code,location_name,zone_name,population,age_group,dose_1,dose_2,total_doses_administered,percent_pop_1_plus_dose,percent_pop_fully_immunized
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,305,12-19 years,60,0,60,19.7,0
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,1322,20-39 years,313,53,366,23.7,4
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,1617,40-59 years,802,76,878,49.6,4.7
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,1633,60-74 years,1224,95,1319,74.9,5.8
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,618,75+ years,497,419,916,80.5,67.8
2021/05/16,Z1.1.A.01,CROWSNEST PASS,SOUTH,6358,All age years,2898,643,3541,45.6,10.1
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,489,12-19 years,136,7,143,27.8,1.4
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,1971,20-39 years,668,110,778,33.9,5.6
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,1929,40-59 years,1007,215,1222,52.2,11.1
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,1749,60-74 years,1312,225,1537,75,12.9
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,807,75+ years,708,620,1328,87.7,76.8
2021/05/16,Z1.1.A.02,PINCHER CREEK,SOUTH,8407,All age years,3837,1177,5014,45.6,14
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,402,12-19 years,91,6,97,22.6,1.5
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,1717,20-39 years,364,43,407,21.2,2.5
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,1458,40-59 years,629,85,714,43.1,5.8
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,1219,60-74 years,816,87,903,66.9,7.1
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,535,75+ years,401,345,746,74.9,64.5
2021/05/16,Z1.1.A.03,FORT MACLEOD,SOUTH,6840,All age years,2304,566,2870,33.7,8.3
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,1326,12-19 years,270,10,280,20.4,0.8
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,4122,20-39 years,769,133,902,18.7,3.2
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,3357,40-59 years,1208,179,1387,36,5.3
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,2558,60-74 years,1343,211,1554,52.5,8.2
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,1277,75+ years,875,700,1575,68.5,54.8
2021/05/16,Z1.1.B.04,CARDSTON-KAINAI,SOUTH,16639,All age years,4472,1233,5705,26.9,7.4
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,1924,12-19 years,460,3,463,23.9,0.2
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,7077,20-39 years,1916,199,2115,27.1,2.8
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,5594,40-59 years,2849,179,3028,50.9,3.2
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,3696,60-74 years,2714,205,2919,73.4,5.5
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,1356,75+ years,1098,937,2035,81,69.1
2021/05/16,Z1.2.A.01,COUNTY OF LETHBRIDGE,SOUTH,26202,All age years,9061,1523,10584,34.6,5.8
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,1615,12-19 years,226,3,229,14,0.2
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,5153,20-39 years,775,55,830,15,1.1
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,4152,40-59 years,1638,105,1743,39.4,2.5
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,2357,60-74 years,1588,104,1692,67.4,4.4
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,989,75+ years,800,658,1458,80.9,66.5
2021/05/16,Z1.2.B.02,TABER MD,SOUTH,19203,All age years,5033,925,5958,26.2,4.8
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,927,12-19 years,184,4,188,19.8,0.4
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,2698,20-39 years,610,88,698,22.6,3.3
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,2278,40-59 years,1036,114,1150,45.5,5
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,1858,60-74 years,1269,159,1428,68.3,8.6
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,815,75+ years,614,507,1121,75.3,62.2
2021/05/16,Z1.2.C.03,COUNTY OF WARNER,SOUTH,11216,All age years,3726,872,4598,33.2,7.8
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,540,12-19 years,25,0,25,4.6,0
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,1699,20-39 years,141,19,160,8.3,1.1
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,1214,40-59 years,374,37,411,30.8,3
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,859,60-74 years,505,69,574,58.8,8
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,341,75+ years,260,223,483,76.3,65.4
2021/05/16,Z1.2.C.04,COUNTY OF FORTY MILE,SOUTH,6477,All age years,1306,348,1654,20.2,5.4
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,1983,12-19 years,442,17,459,22.3,0.9
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,7780,20-39 years,2279,112,2391,29.3,1.4
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,7416,40-59 years,3511,221,3732,47.3,3
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,3496,60-74 years,2421,193,2614,69.3,5.5
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,1279,75+ years,1014,857,1871,79.3,67
2021/05/16,Z1.3.A.01,NEWELL,SOUTH,27920,All age years,9679,1400,11079,34.7,5
2021/05/16,Z1.3.B.02,OYEN,SOUTH,204,12-19 years,20,2,22,9.8,1
2021/05/16,Z1.3.B.02,OYEN,SOUTH,781,20-39 years,165,28,193,21.1,3.6
2021/05/16,Z1.3.B.02,OYEN,SOUTH,833,40-59 years,324,61,385,38.9,7.3
2021/05/16,Z1.3.B.02,OYEN,SOUTH,745,60-74 years,479,177,656,64.3,23.8
2021/05/16,Z1.3.B.02,OYEN,SOUTH,313,75+ years,249,209,458,79.5,66.7
2021/05/16,Z1.3.B.02,OYEN,SOUTH,3525,All age years,1238,477,1715,35.1,13.5
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,792,12-19 years,224,7,231,28.3,0.9
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,2798,20-39 years,771,55,826,27.6,2
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,3168,40-59 years,1604,90,1694,50.6,2.8
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,1963,60-74 years,1335,79,1414,68,4
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,507,75+ years,366,279,645,72.3,55.1
2021/05/16,Z1.3.B.03,CYPRESS COUNTY,SOUTH,11405,All age years,4309,510,4819,37.8,4.5
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,3885,12-19 years,1519,18,1537,39.1,0.5
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,17653,20-39 years,6313,607,6920,35.8,3.4
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,17060,40-59 years,9789,766,10555,57.4,4.5
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,12574,60-74 years,9631,868,10499,76.6,6.9
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,5866,75+ years,5026,4364,9390,85.7,74.4
2021/05/16,Z1.4.A.01,MEDICINE HAT,SOUTH,68404,All age years,32339,6623,38962,47.3,9.7
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,2558,12-19 years,1240,14,1254,48.5,0.5
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,13658,20-39 years,6704,575,7279,49.1,4.2
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,8704,40-59 years,6292,508,6800,72.3,5.8
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,4903,60-74 years,4193,394,4587,85.5,8
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,1596,75+ years,1443,1318,2761,90.4,82.6
2021/05/16,Z1.5.A.01,LETHBRIDGE - WEST,SOUTH,39115,All age years,19931,2809,22740,51,7.2
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,1496,12-19 years,519,12,531,34.7,0.8
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,8270,20-39 years,3279,301,3580,39.6,3.6
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,7090,40-59 years,4463,341,4804,62.9,4.8
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,4590,60-74 years,3782,351,4133,82.4,7.6
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,2004,75+ years,1773,1455,3228,88.5,72.6
2021/05/16,Z1.5.B.02,LETHBRIDGE - NORTH,SOUTH,28222,All age years,13842,2460,16302,49,8.7
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,1630,12-19 years,736,12,748,45.2,0.7
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,9700,20-39 years,3782,362,4144,39,3.7
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,7527,40-59 years,4941,427,5368,65.6,5.7
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,6621,60-74 years,5443,621,6064,82.2,9.4
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,4430,75+ years,3981,3643,7624,89.9,82.2
2021/05/16,Z1.5.C.03,LETHBRIDGE - SOUTH,SOUTH,34789,All age years,18911,5065,23976,54.4,14.6
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,7877,12-19 years,2474,32,2506,31.4,0.4
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,34553,20-39 years,13153,1068,14221,38.1,3.1
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,34909,40-59 years,21392,1297,22689,61.3,3.7
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,19230,60-74 years,15577,1742,17319,81,9.1
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,6641,75+ years,5697,5120,10817,85.8,77.1
2021/05/16,Z2.1.A.01,CALGARY - UPPER NW,CALGARY,125587,All age years,58388,9259,67647,46.5,7.4
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,7453,12-19 years,1968,29,1997,26.4,0.4
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,33695,20-39 years,11476,1017,12493,34.1,3
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,34221,40-59 years,19811,1339,21150,57.9,3.9
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,14770,60-74 years,11694,1053,12747,79.2,7.1
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,4424,75+ years,3788,3162,6950,85.6,71.5
2021/05/16,Z2.1.B.02,CALGARY - NORTH,CALGARY,118910,All age years,48810,6600,55410,41,5.6
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,3505,12-19 years,935,9,944,26.7,0.3
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,25107,20-39 years,8747,626,9373,34.8,2.5
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,20735,40-59 years,12105,646,12751,58.4,3.1
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,11778,60-74 years,9214,1001,10215,78.2,8.5
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,4952,75+ years,4273,3721,7994,86.3,75.1
2021/05/16,Z2.1.C.03,CALGARY - NOSE HILL,CALGARY,78422,All age years,35303,6003,41306,45,7.7
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,4208,12-19 years,1476,16,1492,35.1,0.4
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,16704,20-39 years,6823,510,7333,40.8,3.1
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,17271,40-59 years,11805,773,12578,68.4,4.5
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,9736,60-74 years,8233,1065,9298,84.6,10.9
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,4417,75+ years,4059,3763,7822,91.9,85.2
2021/05/16,Z2.1.D.04,CALGARY - LOWER NW,CALGARY,62936,All age years,32457,6127,38584,51.6,9.7
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,825,12-19 years,190,2,192,23,0.2
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,6482,20-39 years,2453,319,2772,37.8,4.9
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,5552,40-59 years,3040,255,3295,54.8,4.6
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,3760,60-74 years,2854,418,3272,75.9,11.1
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,1714,75+ years,1489,1345,2834,86.9,78.5
2021/05/16,Z2.1.E.05,CALGARY - WEST BOW,CALGARY,21500,All age years,10036,2339,12375,46.7,10.9
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,1586,12-19 years,626,4,630,39.5,0.3
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,15638,20-39 years,7002,596,7598,44.8,3.8
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,12413,40-59 years,7919,541,8460,63.8,4.4
