date,location,cases_total,cases_active,cases_recovered,deaths
2020/05/21,City Of Edmonton,374,52.0,311.0,11.0
2020/10/06,City Of Edmonton,5324,980.0,4266.0,78.0
2021/05/13,City Of Edmonton,58307,3926.0,53512.0,869.0
2021/01/24,City Of Edmonton,41437,2642.0,38098.0,697.0
2020/07/13,City Of Edmonton,1065,169.0,877.0,19.0
2020/05/23,City Of Edmonton,373,49.0,312.0,12.0
2021/04/18,City Of Edmonton,50548,3311.0,46384.0,853.0
2020/07/19,City Of Edmonton,1164,193.0,948.0,23.0
2020/06/18,City Of Edmonton,639,201.0,425.0,13.0
2020/04/07,City Of Edmonton,240,168.0,68.0,4.0
2021/02/05,City Of Edmonton,42463,1539.0,40185.0,739.0
2020/11/20,City Of Edmonton,14622,3895.0,10551.0,176.0
2021/02/04,City Of Edmonton,42402,1613.0,40056.0,733.0
2020/12/08,City Of Edmonton,25139,7526.0,17344.0,269.0
2020/07/28,City Of Edmonton,1363,251.0,1072.0,40.0
2020/04/25,City Of Edmonton,333,90.0,234.0,9.0
2021/02/16,City Of Edmonton,43129,1024.0,41329.0,776.0
2020/06/09,City Of Edmonton,473,107.0,354.0,12.0
2021/01/22,City Of Edmonton,41017,2787.0,37562.0,668.0
2020/05/31,City Of Edmonton,396,64.0,320.0,12.0
2020/07/30,City Of Edmonton,1404,252.0,1107.0,45.0
2020/11/24,City Of Edmonton,16761,4936.0,11630.0,195.0
2021/04/11,City Of Edmonton,48670,2414.0,45409.0,847.0
2020/07/23,City Of Edmonton,1237,197.0,1008.0,32.0
2020/11/25,City Of Edmonton,17128,5071.0,11859.0,198.0
2020/06/24,City Of Edmonton,761,222.0,525.0,14.0
2021/02/06,City Of Edmonton,42525,1487.0,40297.0,741.0
2020/05/01,City Of Edmonton,354,90.0,253.0,11.0
2021/03/26,City Of Edmonton,46057,1274.0,43948.0,835.0
2021/04/28,City Of Edmonton,53773,4185.0,48734.0,854.0
2020/05/20,City Of Edmonton,372,50.0,311.0,11.0
2021/01/13,City Of Edmonton,39540,3755.0,35166.0,619.0
2020/07/05,City Of Edmonton,937,201.0,722.0,14.0
2021/04/21,City Of Edmonton,51524,3593.0,47075.0,856.0
2020/04/19,City Of Edmonton,302,95.0,200.0,7.0
2020/05/30,City Of Edmonton,394,62.0,320.0,12.0
2020/09/28,City Of Edmonton,4536,738.0,3728.0,70.0
2020/08/06,City Of Edmonton,1613,305.0,1258.0,50.0
2020/12/07,City Of Edmonton,24542,7586.0,16692.0,264.0
2020/09/24,City Of Edmonton,4263,694.0,3502.0,67.0
2020/08/19,City Of Edmonton,2224,561.0,1609.0,54.0
2020/07/08,City Of Edmonton,982,182.0,782.0,18.0
2020/12/03,City Of Edmonton,21968,6899.0,14833.0,236.0
2020/06/17,City Of Edmonton,617,192.0,412.0,13.0
2020/09/27,City Of Edmonton,4461,708.0,3684.0,69.0
2020/09/13,City Of Edmonton,3505,592.0,2847.0,66.0
2021/05/26,City Of Edmonton,60159,2012.0,57266.0,881.0
2020/06/16,City Of Edmonton,596,195.0,389.0,12.0
2020/08/13,City Of Edmonton,1927,450.0,1423.0,54.0
2020/05/07,City Of Edmonton,360,68.0,281.0,11.0
2021/02/28,City Of Edmonton,43939,830.0,42308.0,801.0
2020/04/29,City Of Edmonton,344,85.0,249.0,10.0
2020/11/12,City Of Edmonton,11832,2855.0,8836.0,141.0
2021/02/07,City Of Edmonton,42590,1472.0,40373.0,745.0
2020/08/11,City Of Edmonton,1850,426.0,1371.0,53.0
2021/03/30,City Of Edmonton,46466,1364.0,44264.0,838.0
2020/07/29,City Of Edmonton,1387,257.0,1085.0,45.0
2020/04/26,City Of Edmonton,335,91.0,235.0,9.0
2020/06/03,City Of Edmonton,412,44.0,356.0,12.0
2021/01/11,City Of Edmonton,39051,4132.0,34318.0,601.0
2020/10/14,City Of Edmonton,6271,1249.0,4939.0,83.0
2021/01/05,City Of Edmonton,37636,4655.0,32449.0,532.0
2021/05/08,City Of Edmonton,57030,4290.0,51882.0,858.0
2020/05/10,City Of Edmonton,362,58.0,293.0,11.0
2021/02/20,City Of Edmonton,43360,900.0,41680.0,780.0
2021/05/09,City Of Edmonton,57325,4319.0,52145.0,861.0
2020/11/26,City Of Edmonton,17659,5222.0,12236.0,201.0
2020/06/23,City Of Edmonton,752,236.0,503.0,13.0
2020/10/19,City Of Edmonton,6908,1318.0,5506.0,84.0
2020/06/27,City Of Edmonton,811,220.0,577.0,14.0
2021/05/16,City Of Edmonton,58764,3747.0,54147.0,870.0
2020/07/20,City Of Edmonton,1187,202.0,961.0,24.0
2021/03/05,City Of Edmonton,44316,951.0,42559.0,806.0
2020/06/02,City Of Edmonton,409,44.0,353.0,12.0
2020/12/01,City Of Edmonton,20499,6286.0,13992.0,221.0
2021/05/28,City Of Edmonton,60332,1719.0,57727.0,886.0
2020/05/18,City Of Edmonton,369,49.0,309.0,11.0
2020/12/29,City Of Edmonton,35406,5421.0,29522.0,463.0
2020/12/11,City Of Edmonton,27235,7760.0,19184.0,291.0
2021/01/12,City Of Edmonton,39287,3965.0,34714.0,608.0
2020/09/07,City Of Edmonton,3187,595.0,2529.0,63.0
2020/12/02,City Of Edmonton,21312,6671.0,14415.0,226.0
2020/09/08,City Of Edmonton,3236,562.0,2610.0,64.0
2020/05/26,City Of Edmonton,374,44.0,318.0,12.0
2020/08/27,City Of Edmonton,2558,489.0,2011.0,58.0
2021/02/21,City Of Edmonton,43399,832.0,41781.0,786.0
2020/12/22,City Of Edmonton,32981,6840.0,25763.0,378.0
2021/02/08,City Of Edmonton,42638,1384.0,40507.0,747.0
2021/05/21,City Of Edmonton,59731,2838.0,56018.0,875.0
2020/11/15,City Of Edmonton,12747,3309.0,9284.0,154.0
2020/08/17,City Of Edmonton,2128,572.0,1502.0,54.0
2021/02/27,City Of Edmonton,43877,791.0,42285.0,801.0
2021/04/08,City Of Edmonton,48061,2087.0,45131.0,843.0
2021/03/10,City Of Edmonton,44647,970.0,42864.0,813.0
2020/11/08,City Of Edmonton,10729,2564.0,8038.0,127.0
2020/10/25,City Of Edmonton,7992,1786.0,6113.0,93.0
2020/10/04,City Of Edmonton,5109,894.0,4137.0,78.0
2021/03/31,City Of Edmonton,46583,1362.0,44382.0,839.0
2020/04/23,City Of Edmonton,317,82.0,227.0,8.0
2021/03/07,City Of Edmonton,44452,997.0,42647.0,808.0
2020/05/15,City Of Edmonton,368,52.0,305.0,11.0
2021/05/22,City Of Edmonton,59836,2700.0,56260.0,876.0
2020/08/26,City Of Edmonton,2530,526.0,1946.0,58.0
2020/07/07,City Of Edmonton,978,197.0,766.0,15.0
2021/02/15,City Of Edmonton,43059,1064.0,41222.0,773.0
2020/04/14,City Of Edmonton,275,117.0,151.0,7.0
2021/05/03,City Of Edmonton,55408,4309.0,50241.0,858.0
2021/01/25,City Of Edmonton,41523,2471.0,38351.0,701.0
2020/05/02,City Of Edmonton,356,87.0,258.0,11.0
2021/01/23,City Of Edmonton,41129,2674.0,37775.0,680.0
2021/01/04,City Of Edmonton,37324,4783.0,32024.0,517.0
2020/06/10,City Of Edmonton,496,130.0,354.0,12.0
2021/03/11,City Of Edmonton,44718,971.0,42933.0,814.0
2020/09/29,City Of Edmonton,4611,753.0,3787.0,71.0
2021/05/19,City Of Edmonton,59472,3159.0,55439.0,874.0
2020/05/06,City Of Edmonton,358,71.0,276.0,11.0
2020/12/19,City Of Edmonton,31643,7402.0,23878.0,363.0
2021/03/22,City Of Edmonton,45637,1136.0,43669.0,832.0
2020/06/08,City Of Edmonton,465,103.0,350.0,12.0
2020/05/12,City Of Edmonton,360,51.0,298.0,11.0
2021/04/06,City Of Edmonton,47558,1775.0,44942.0,841.0
2020/09/21,City Of Edmonton,4044,717.0,3260.0,67.0
2020/07/01,City Of Edmonton,886,206.0,666.0,14.0
2020/10/28,City Of Edmonton,8400,1870.0,6434.0,96.0
2021/05/04,City Of Edmonton,55771,4323.0,50590.0,858.0
2020/05/27,City Of Edmonton,377,47.0,318.0,12.0
2020/11/17,City Of Edmonton,13231,3278.0,9789.0,164.0
2020/08/04,City Of Edmonton,1545,287.0,1210.0,48.0
2021/05/29,City Of Edmonton,60405,1615.0,57904.0,886.0
2020/09/23,City Of Edmonton,4189,683.0,3439.0,67.0
2020/07/06,City Of Edmonton,964,210.0,739.0,15.0
2021/02/02,City Of Edmonton,42176,1712.0,39736.0,728.0
2020/10/21,City Of Edmonton,7234,1421.0,5727.0,86.0
2020/12/18,City Of Edmonton,31181,7439.0,23384.0,358.0
2021/02/13,City Of Edmonton,42966,1144.0,41053.0,769.0
2021/02/11,City Of Edmonton,42852,1246.0,40847.0,759.0
2021/01/17,City Of Edmonton,40279,3473.0,36165.0,641.0
2021/01/31,City Of Edmonton,42072,1932.0,39419.0,721.0
2020/10/20,City Of Edmonton,7060,1359.0,5615.0,86.0
2020/10/05,City Of Edmonton,5251,966.0,4207.0,78.0
2020/09/30,City Of Edmonton,4717,783.0,3861.0,73.0
2021/05/10,City Of Edmonton,57542,4195.0,52486.0,861.0
2021/03/27,City Of Edmonton,46176,1333.0,44007.0,836.0
2021/03/09,City Of Edmonton,44591,990.0,42791.0,810.0
2020/09/09,City Of Edmonton,3289,542.0,2682.0,65.0
2021/05/01,City Of Edmonton,54764,4269.0,49641.0,854.0
2021/01/28,City Of Edmonton,41833,2134.0,38987.0,712.0
2020/07/02,City Of Edmonton,902,211.0,677.0,14.0
2020/06/01,City Of Edmonton,404,44.0,348.0,12.0
2021/02/18,City Of Edmonton,43285,1022.0,41486.0,777.0
2021/03/20,City Of Edmonton,45496,1135.0,43533.0,828.0
2020/10/29,City Of Edmonton,8567,1890.0,6577.0,100.0
2020/06/06,City Of Edmonton,443,74.0,357.0,12.0
2020/07/09,City Of Edmonton,1001,173.0,811.0,17.0
2020/12/20,City Of Edmonton,32062,7367.0,24324.0,371.0
2020/04/22,City Of Edmonton,315,82.0,225.0,8.0
2020/12/06,City Of Edmonton,23917,7435.0,16223.0,259.0
2021/01/15,City Of Edmonton,39916,3720.0,35567.0,629.0
2020/10/07,City Of Edmonton,5549,1112.0,4359.0,78.0
2020/07/16,City Of Edmonton,1116,182.0,913.0,21.0
2021/03/03,City Of Edmonton,44157,882.0,42470.0,805.0
2020/09/15,City Of Edmonton,3666,633.0,2967.0,66.0
2020/11/09,City Of Edmonton,11014,2622.0,8262.0,130.0
2020/10/12,City Of Edmonton,6069,1226.0,4762.0,81.0
2021/05/15,City Of Edmonton,58764,3747.0,54147.0,870.0
2020/06/29,City Of Edmonton,850,221.0,615.0,14.0
