name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
ABBOTTSFIELD (2010) ( 9.9%),Abbottsfield,4.0,94.0,100.0,1.0,880.0,149.0,1029.0,0.0,216.0,13300.0,0.1274436090225564,450,1165,85,0,835,860,3.1,1035,540,175,120,175,330,415,495,1245,67.1,58.2,480,140,25,480.0
BEACON HEIGHTS (2040) ( 5.8%),Abbottsfield,7.0,156.0,165.0,2.0,1461.0,248.0,1709.0,0.0,596.0,13300.0,0.21165413533834587,330,2010,410,70,1445,1375,2.7,2295,515,45,10,315,750,770,960,2485,61.4,53.9,1075,165,45,360.0
BERGMAN (2090) ( 4.6%),Abbottsfield,4.0,90.0,95.0,1.0,841.0,143.0,983.0,0.0,197.0,13300.0,0.12180451127819548,280,1145,175,20,815,805,2.9,1335,285,30,0,80,320,400,615,1340,69.0,61.9,690,80,25,120.0
BEVERLY HEIGHTS (2100) ( 6.1%),Abbottsfield,9.0,197.0,209.0,3.0,1848.0,313.0,2161.0,0.0,953.0,13300.0,0.26766917293233083,585,2305,550,120,1815,1745,2.8,3075,465,70,20,400,640,840,1495,2975,61.2,53.6,1275,190,45,580.0
RUNDLE HEIGHTS (2660) ( 4.4%),Abbottsfield,9.0,200.0,212.0,3.0,1874.0,318.0,2192.0,0.0,980.0,13300.0,0.2714285714285714,960,2250,365,35,1830,1780,3.1,2560,990,355,60,450,710,800,1140,2650,62.3,52.5,1070,195,30,1015.0
KINGLET GARDENS (4477) ( 4.4%),Bonnie Doon,0.0,8.0,8.0,0.0,136.0,24.0,160.0,0.0,0.0,89895.0,0.0021691973969631237,15,130,55,0,100,95,2.7,135,65,0,0,0,10,55,115,180,59.5,62.2,90,0,0,
ALLENDALE (5010) ( 8.1%),Bonnie Doon,2.0,113.0,118.0,3.0,2033.0,360.0,2392.0,0.0,95.0,89895.0,0.03248234050837088,325,2340,235,25,1555,1360,2.8,2335,460,120,125,135,315,785,1495,2595,77.9,69.6,1275,315,145,320.0
BELGRAVIA (5040) ( 3.9%),Bonnie Doon,1.0,90.0,94.0,3.0,1615.0,286.0,1901.0,0.0,60.0,89895.0,0.025807886979253573,395,1535,330,55,1105,1215,3.0,1665,565,60,85,45,110,325,1490,1925,65.5,61.8,610,250,200,165.0
GARNEAU (5200) ( 8.0%),Bonnie Doon,4.0,261.0,273.0,8.0,4699.0,831.0,5530.0,0.0,507.0,89895.0,0.07508760220256966,205,5980,500,60,3440,3310,2.3,3775,1375,445,1595,175,185,1710,4645,6545,66.8,60.3,1640,755,1265,2025.0
LENDRUM PLACE (5270) ( 4.6%),Bonnie Doon,1.0,73.0,76.0,2.0,1305.0,231.0,1536.0,0.0,39.0,89895.0,0.020857667278491573,265,1240,310,60,965,910,2.8,1420,410,105,45,70,145,360,1105,1605,59.6,57.8,610,170,100,160.0
MCKERNAN (5290) ( 6.2%),Bonnie Doon,2.0,97.0,101.0,3.0,1737.0,307.0,2044.0,0.0,69.0,89895.0,0.027754602591912786,215,2025,205,45,1310,1185,2.6,1800,425,55,275,70,110,555,1620,2280,76.5,69.5,800,320,360,350.0
PARKALLEN (5310) ( 3.2%),Bonnie Doon,1.0,90.0,95.0,3.0,1626.0,288.0,1913.0,0.0,61.0,89895.0,0.025974748317481505,330,1785,200,20,1160,1170,2.8,1940,330,65,65,75,135,540,1330,2005,78.8,74.3,775,315,235,150.0
PLEASANTVIEW (5320) ( 5.5%),Bonnie Doon,2.0,148.0,155.0,5.0,2670.0,472.0,3142.0,0.0,164.0,89895.0,0.04266088214027477,570,2770,465,35,1880,1955,2.7,2515,1145,450,175,135,305,835,2125,3265,74.0,67.3,1455,435,165,450.0
QUEEN ALEXANDRA (5330) ( 7.9%),Bonnie Doon,3.0,185.0,194.0,6.0,3335.0,590.0,3924.0,0.0,255.0,89895.0,0.05328438734078647,375,3930,430,50,2405,2380,2.5,3315,1035,395,440,285,335,980,3100,4415,76.4,68.1,1635,665,535,840.0
STRATHCONA (5480) ( 8.5%),Bonnie Doon,5.0,337.0,353.0,10.0,6074.0,1074.0,7148.0,0.0,847.0,89895.0,0.09705767840258078,710,7120,825,70,4505,4220,2.5,6430,1640,500,655,415,600,1660,5755,8015,80.2,74.9,3340,1115,1105,1150.0
WINDSOR PARK (5580) ( 3.0%),Bonnie Doon,1.0,51.0,53.0,2.0,912.0,161.0,1073.0,0.0,19.0,89895.0,0.014572556871906112,205,815,235,60,680,625,3.0,935,320,25,50,20,60,205,845,1105,63.8,58.4,330,40,170,75.0
ARGYLL (6010) ( 6.0%),Bonnie Doon,1.0,35.0,37.0,1.0,630.0,111.0,741.0,0.0,9.0,89895.0,0.010067300739751933,140,630,90,45,435,465,2.7,750,150,30,0,20,110,190,470,770,76.0,71.4,410,60,40,30.0
AVONMORE (6020) ( 6.5%),Bonnie Doon,1.0,87.0,91.0,3.0,1570.0,278.0,1848.0,0.0,57.0,89895.0,0.025084821180265865,370,1465,340,75,1140,1110,2.7,1935,295,45,20,145,240,470,1180,1885,67.1,63.1,930,100,85,255.0
BONNIE DOON (6040) ( 6.0%),Bonnie Doon,3.0,170.0,178.0,5.0,3063.0,542.0,3605.0,0.0,215.0,89895.0,0.048945992546860224,515,3285,475,125,2240,2160,2.7,3565,675,95,160,245,425,925,2535,3885,73.4,66.8,1770,325,250,480.0
CAPILANO (6061) ( 2.3%),Bonnie Doon,2.0,109.0,114.0,3.0,1956.0,346.0,2302.0,0.0,88.0,89895.0,0.03125869069469937,435,1830,470,70,1425,1380,2.9,2495,305,10,10,105,160,565,1650,2375,68.4,64.2,1235,95,50,95.0
CLOVERDALE (6070) ( 8.0%),Bonnie Doon,1.0,37.0,39.0,1.0,668.0,118.0,787.0,0.0,10.0,89895.0,0.010679125646587686,125,735,90,10,505,455,2.6,835,100,10,20,25,50,155,625,830,74.1,70.5,480,35,25,40.0
CPR IRVINE (6110) ( 12.6%),Bonnie Doon,0.0,8.0,8.0,0.0,139.0,25.0,164.0,0.0,0.0,89895.0,0.0022248178430391012,0,195,0,0,115,80,2.1,160,20,0,15,15,0,70,125,195,84.6,79.5,90,25,20,
FOREST HEIGHTS (6230) ( 1.9%),Bonnie Doon,2.0,148.0,155.0,5.0,2663.0,471.0,3134.0,0.0,163.0,89895.0,0.04254964124812281,425,2720,550,125,1940,1880,2.6,3165,580,75,80,230,525,830,2045,3395,68.8,62.7,1605,295,80,390.0
FULTON PLACE (6240) ( 4.8%),Bonnie Doon,1.0,85.0,89.0,3.0,1532.0,271.0,1802.0,0.0,54.0,89895.0,0.024472996273430112,250,1495,365,85,1125,1075,2.6,2005,175,25,20,160,270,475,1195,1950,63.2,56.8,805,140,65,115.0
GOLD BAR (6270) ( 7.8%),Bonnie Doon,2.0,109.0,114.0,3.0,1963.0,347.0,2310.0,0.0,88.0,89895.0,0.03136993158685133,510,1890,360,60,1360,1455,2.9,2465,295,130,60,190,365,710,1240,2310,70.8,63.9,1185,135,80,290.0
HAZELDEAN (6290) ( 7.1%),Bonnie Doon,2.0,127.0,133.0,4.0,2280.0,403.0,2683.0,0.0,119.0,89895.0,0.03643139217976528,590,2365,275,45,1705,1570,2.7,2860,375,120,45,320,345,695,1645,2690,75.0,66.9,1305,170,190,305.0
HOLYROOD (6310) ( 4.5%),Bonnie Doon,2.0,130.0,136.0,4.0,2339.0,414.0,2753.0,0.0,126.0,89895.0,0.0373769397630569,540,2365,390,65,1690,1675,2.8,2960,365,50,35,185,360,740,1720,2825,70.4,65.2,1385,225,105,255.0
IDYLWYLDE (6320) ( 3.3%),Bonnie Doon,1.0,67.0,70.0,2.0,1201.0,212.0,1413.0,0.0,33.0,89895.0,0.019189053896212248,185,1110,370,65,805,920,2.5,1300,350,115,70,120,215,365,965,1545,59.5,53.4,560,190,15,180.0
KENILWORTH (6350) ( 5.6%),Bonnie Doon,2.0,98.0,103.0,3.0,1768.0,313.0,2081.0,0.0,72.0,89895.0,0.028255186606596584,295,1660,515,75,1235,1305,2.6,2110,390,55,40,190,400,610,1235,2245,63.8,59.2,1110,125,30,155.0
KING EDWARD PARK (6360) ( 7.4%),Bonnie Doon,3.0,181.0,189.0,6.0,3258.0,576.0,3834.0,0.0,244.0,89895.0,0.052060737527114966,570,3715,320,80,2430,2250,2.6,3890,665,180,135,330,695,1065,2355,4110,76.9,70.4,2195,375,155,450.0
MAPLE RIDGE (6410) ( 5.1%),Bonnie Doon,1.0,66.0,69.0,2.0,1180.0,209.0,1389.0,0.0,32.0,89895.0,0.018855331219756383,205,1225,255,15,875,825,2.5,1580,120,10,0,140,380,540,575,1490,65.4,59.7,755,105,0,215.0
