Name,Zone,Local Health Area,Facilities
Leduc Community Hospital,Edmonton,Leduc & Devon,Acute care facilities
"Capital Care Norwood, Edmonton",Edmonton,Woodcroft East,Long term care facilities
"Chartwell Emerald Hills, Sherwood Park",Edmonton,Sherwood Park,Long term care facilities
Extendicare Leduc,Edmonton,Leduc & Devon,Long term care facilities
"Jasper Place Continuing Care Centre, Edmonton",Edmonton,Jasper Place,Long term care facilities
"Ambrose Place, Edmonton",Edmonton,Eastwood,Supportive living/home living sites
"Chartwell Emerald Hills, Sherwood Park",Edmonton,Sherwood Park,Supportive living/home living sites
"GEF Ottewel Place Lodge, Edmonton",Edmonton,Bonnie Doon,Supportive living/home living sites
"GEF Sakaw Terrace Seniors Housing, Edmonton",Edmonton,Mill Woods South & East,Supportive living/home living sites
"Kiwanis Place Lodge, Edmonton",Edmonton,Woodcroft East,Supportive living/home living sites
"March of Dimes Supportive Living, Edmonton",Edmonton,Eastwood,Supportive living/home living sites
"McQueen Lodge, Edmonton",Edmonton,Woodcroft West,Supportive living/home living sites
"Mirka Care Services, Edmonton",Edmonton,Eastwood,Supportive living/home living sites
"Riverbend Retirement Residence, Edmonton",Edmonton,Twin Brooks,Supportive living/home living sites
"Wild Rose Retirement Residence, Edmonton",Edmonton,Mill Woods South & East,Supportive living/home living sites
"A and D Childcare Centre, Sherwood Park",Edmonton,Sherwood Park,Supportive living/home living sites
"ABC Child Development Centre Daycare and Out of School Care, Edmonton",Edmonton,Duggan,Supportive living/home living sites
"Alberta Furnace Cleaning, Edmonton",Edmonton,Woodcroft West,Supportive living/home living sites
"Alliance Refractories at Imperial Oil site, Edmonton",Edmonton,Woodcroft West,Supportive living/home living sites
"Amazing Grace Daycare, Edmonton",Edmonton,Eastwood,Supportive living/home living sites
"Amazon, Nisku",Edmonton,Beaumont,Supportive living/home living sites
"Aurora Cannabis, Edmonton",Edmonton,West Jasper Place,Supportive living/home living sites
"Brightpath Windermere, Edmonton",Edmonton,Rutherford,Supportive living/home living sites
"Building Products of Canada, Edmonton",Edmonton,Bonnie Doon,Supportive living/home living sites
"Costco, Sherwood Park",Edmonton,Sherwood Park,Supportive living/home living sites
"Costco (Winterburn Road), Edmonton",Edmonton,West Jasper Place,Supportive living/home living sites
"CSM Pump, Nisku",Edmonton,Beaumont,Supportive living/home living sites
Edmonton Institution,Edmonton,NE,Supportive living/home living sites
Edmonton Remand Centre,Edmonton,Castle Downs,Supportive living/home living sites
"Heartland Petrochemical Complexآ â€“ CUB unit, Fort Saskatchewan",Edmonton,Strathcona Country Excluding Sherwood Park,Supportive living/home living sites
"Heartland Petrochemical Complex â€“ Kiewit, Fort Saskatchewan",Edmonton,Strathcona Country Excluding Sherwood Park,Supportive living/home living sites
"Heartland Petrochemical Complex â€“ Polypropylene unit, Fort Saskatchewan",Edmonton,Strathcona Country Excluding Sherwood Park,Supportive living/home living sites
"Heritage Daycare Centre, Edmonton",Edmonton,Duggan,Supportive living/home living sites
"Heritage Hills Montessori Child Development, Sherwood Park",Edmonton,Sherwood Park,Supportive living/home living sites
"Highlands School construction site, Edmonton",Edmonton,Eastwood,Supportive living/home living sites
"Ideal Daycare, Edmonton",Edmonton,Mill Woods South & East,Supportive living/home living sites
"Ideal West Daycare, Edmonton",Edmonton,West Jasper Place,Supportive living/home living sites
"Intelcom, Edmonton",Edmonton,Mill Woods West,Supportive living/home living sites
"Insta Auto Solutions, St. Albert",Edmonton,St. Albert,Supportive living/home living sites
"KDM Management Inc., St. Albert",Edmonton,St. Albert,Supportive living/home living sites
"Kidlets Daycare Preschool & OSC, Edmonton",Edmonton,Twin Brooks,Supportive living/home living sites
"Kids Cove Daycare, Edmonton",Edmonton,Twin Brooks,Supportive living/home living sites
"Lilydale Sofina Foods, Edmonton",Edmonton,Northgate,Supportive living/home living sites
"Maple Leaf Foods, Edmonton",Edmonton,Sherwood Park,Supportive living/home living sites
